"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"29-540 Valdez No. 2","3","1","17","0","5","0","5","0","7","3","1","0","0","1","27","33","0","8","1","0","2","2","0","0","0","0","0","0","25","18","0","19","2","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"29-545 Valdez No. 3","13","0","17","0","11","1","7","0","16","1","0","0","1","0","39","35","0","19","0","0","2","6","0","0","0","1","0","1","21","18","0","19","1","0","1","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","24"
"30-550 Anderson/Clear","6","0","10","0","2","1","1","0","2","0","0","1","0","0","31","11","0","11","1","0","0","0","0","0","0","1","0","0","4","9","0","5","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"30-555 Big Lake","81","0","123","0","30","12","25","0","37","5","0","1","0","2","216","163","0","91","16","0","3","18","1","1","5","4","0","5","40","59","0","38","9","0","3","3","0","0","5","5","0","0","6","1","0","1","0","2","2","0","0","1","0","0","0","11"
"30-560 Cantwell","5","0","4","0","2","0","0","0","2","0","0","0","0","0","13","5","0","6","1","0","0","1","0","2","1","0","0","0","8","14","0","9","1","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"30-565 Denali Park","3","0","0","0","0","0","2","0","1","0","0","0","0","0","3","3","0","2","0","0","0","0","0","0","0","0","0","0","24","20","0","13","5","0","2","2","0","1","4","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"30-570 East Schrock","2","0","7","0","5","1","3","0","1","1","0","0","0","0","9","4","0","8","3","0","1","4","0","0","1","0","0","0","4","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30-575 Healy","14","0","29","0","22","1","12","0","13","2","0","0","0","0","20","43","0","15","3","0","0","2","0","0","0","2","0","0","31","50","0","15","10","0","1","0","0","0","5","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"30-580 Houston","17","0","39","1","10","1","9","0","17","2","0","0","2","0","121","82","0","47","4","1","2","11","1","0","3","5","0","0","16","22","0","22","2","0","1","4","0","0","0","1","0","0","0","3","0","0","1","0","3","0","0","0","0","0","0","14"
"30-585 Knik Goose Bay No. 4","45","1","134","0","30","7","9","0","23","4","2","6","1","4","177","130","0","77","15","0","3","16","0","1","3","5","0","0","29","39","0","32","7","0","1","8","0","0","6","12","0","0","0","1","0","2","0","0","0","0","0","2","0","0","0","17"
"30-590 Trapper Creek","12","0","9","0","2","0","3","0","1","1","0","0","1","2","56","20","0","11","5","0","1","5","0","0","1","0","0","1","11","6","0","7","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"30-595 Susitna","17","0","38","0","11","2","13","0","13","2","0","1","0","0","82","57","0","36","8","0","2","7","0","0","2","0","0","0","14","27","0","21","10","0","1","2","0","0","2","5","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","11"
"30-600 Talkeetna","15","0","15","0","0","3","11","0","13","0","0","0","0","0","31","36","0","9","3","0","0","3","0","0","1","0","0","0","54","68","0","37","4","0","2","3","0","0","7","17","0","2","1","1","0","0","0","1","1","0","0","0","2","0","0","7"
"30-605 Willow","44","1","74","0","30","10","23","0","26","8","2","3","0","1","178","124","0","63","14","0","3","20","0","0","4","1","0","1","39","75","0","30","14","0","2","10","0","0","3","19","0","1","1","1","0","3","1","1","2","0","0","1","2","0","0","13"
"31-446 Aurora","38","0","59","0","32","2","13","0","36","2","0","2","2","0","70","79","0","63","15","0","3","12","0","0","0","4","0","0","68","64","0","69","9","0","2","15","0","0","7","10","0","2","2","0","0","1","1","1","1","0","0","0","5","0","0","9"
"31-455 Fairbanks No. 1","58","0","48","0","28","6","23","0","36","10","0","0","1","1","81","79","0","48","9","0","2","10","0","1","2","3","0","0","92","96","0","71","13","0","2","11","0","1","20","20","0","2","3","2","0","1","1","0","1","0","0","1","0","0","1","6"
"31-480 Fairbanks No. 2","53","0","54","0","49","4","27","0","45","7","4","0","3","0","75","77","0","35","9","0","4","15","0","2","1","5","0","0","63","60","0","63","17","0","2","18","0","0","14","15","0","0","2","2","0","1","1","0","0","0","0","1","7","0","0","2"
"31-485 Fairbanks No. 3","16","0","27","0","27","6","12","0","24","0","0","2","1","1","48","58","0","42","13","0","0","7","0","0","2","4","0","0","39","36","1","61","10","1","1","12","0","0","7","6","0","3","4","1","0","0","2","0","2","0","0","1","0","0","0","10"
"32-355 Fairbanks No. 4","17","0","43","0","19","6","14","0","30","1","0","1","3","0","60","56","0","42","4","0","4","19","0","0","2","0","0","1","46","48","0","41","4","0","1","8","0","0","1","11","0","1","0","1","0","1","2","0","0","0","0","3","3","0","0","13"
"32-365 Fairbanks No. 5","22","0","39","0","15","4","15","0","15","1","0","1","1","0","58","52","0","40","8","0","2","8","0","0","1","2","0","0","45","37","0","30","10","0","0","7","0","0","10","8","0","0","3","0","0","1","0","0","2","0","0","0","0","0","1","5"
"32-375 Fort Wainwright","0","0","4","0","4","1","1","0","2","0","0","0","2","0","6","9","0","10","3","0","0","1","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","2"
"32-385 Badger No. 2","35","0","58","0","29","9","16","0","29","2","1","1","3","0","120","108","0","79","24","0","4","24","0","1","1","5","0","3","22","33","0","38","7","0","1","9","0","2","3","3","0","0","2","0","0","1","1","1","2","0","1","2","3","0","0","12"
"33-130 Badger No. 1","45","0","59","0","21","9","34","0","23","2","1","0","1","0","121","147","0","81","18","0","1","24","0","0","0","4","0","3","42","39","0","38","7","0","1","7","0","0","10","6","0","2","2","2","0","2","2","0","5","0","0","1","1","0","0","11"
"33-135 Chena Lakes","38","0","76","0","34","16","10","0","19","1","0","3","1","1","120","124","0","67","13","0","5","12","0","0","6","6","0","0","23","21","0","34","4","0","0","6","0","0","3","11","0","0","1","0","0","6","1","0","0","0","0","0","0","0","1","10"
"33-155 Moose Creek","6","0","5","0","4","2","0","0","3","0","0","0","0","0","24","18","0","13","0","0","0","2","0","0","0","2","0","0","3","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33-165 Newby","45","0","101","0","30","13","19","0","29","0","1","1","0","1","137","162","0","80","14","1","2","15","0","0","3","6","0","1","31","32","0","37","8","1","1","9","0","0","3","3","0","0","2","1","0","8","0","1","2","0","0","0","2","0","0","26"
"33-175 North Pole","20","0","38","0","15","10","8","0","15","4","1","1","0","0","72","66","0","40","12","0","1","7","0","1","2","3","1","1","16","18","0","24","4","1","1","3","1","0","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","9"
"33-183 Plack","31","0","57","0","32","16","16","0","20","2","1","2","0","2","145","170","0","65","19","0","2","16","0","0","4","8","0","0","23","24","0","25","9","0","0","4","0","0","3","5","0","1","2","0","0","2","0","2","2","0","0","0","2","0","0","10"
"34-235 Eielson","4","0","8","0","4","0","0","0","4","2","0","1","0","0","9","18","0","12","1","0","0","3","0","0","0","1","0","0","7","6","0","8","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"34-238 Eielson Farm Road","4","0","6","0","1","2","1","0","1","0","0","1","0","0","6","9","0","1","2","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34-240 Farmers Loop","31","0","44","0","27","4","22","0","25","3","1","2","1","0","68","67","0","27","9","0","0","4","0","1","1","1","0","0","106","119","0","77","22","0","6","5","0","0","20","21","0","4","1","0","0","7","1","0","3","0","0","1","4","0","1","22"
"34-260 Salcha","23","0","32","0","13","6","6","1","9","2","0","2","1","0","82","86","0","39","3","0","3","12","0","0","0","3","0","0","7","16","0","18","0","0","0","3","0","0","5","3","0","2","2","0","0","0","0","0","2","0","0","0","0","0","0","6"
"34-263 Steele Creek","42","0","75","0","30","6","16","0","41","11","2","1","3","2","106","143","0","52","24","3","1","16","0","1","2","3","0","1","79","93","1","62","13","0","1","7","0","0","22","17","0","3","1","0","0","2","6","1","5","0","0","1","3","0","0","11"
"34-265 Steese ","44","0","85","0","35","18","20","0","28","6","4","1","1","0","87","120","0","53","15","0","2","12","0","1","2","4","0","1","64","71","0","64","13","0","5","7","0","2","11","14","0","2","1","0","0","1","4","0","1","0","1","1","2","0","2","5"
"34-270 Summit","49","0","79","0","27","11","32","0","28","8","3","4","4","0","90","124","1","50","12","0","2","13","0","0","5","4","0","1","70","71","0","42","18","0","1","11","0","1","26","20","0","3","2","4","0","2","2","1","1","0","0","0","6","0","2","18"
"34-280 Two Rivers","15","0","34","0","14","4","10","0","4","2","0","0","0","0","64","67","0","26","6","0","3","9","0","1","2","3","0","0","22","29","0","29","3","0","3","3","0","0","7","9","0","1","2","2","0","1","2","0","0","0","0","0","0","0","0","5"
"35-580 Airport","12","0","22","0","11","3","5","0","11","2","0","0","0","0","32","42","0","8","12","0","0","3","0","0","1","1","1","0","13","15","0","17","5","0","0","3","0","0","4","8","0","2","1","2","0","2","0","0","0","0","0","0","0","0","0","2"
"35-582 Chena","53","0","92","0","44","14","30","0","49","7","2","2","2","0","129","124","0","60","17","0","5","21","0","2","2","4","0","1","155","183","0","90","33","0","4","12","0","1","37","46","0","6","2","0","0","6","3","1","2","0","0","1","5","0","0","19"
"35-584 Ester","14","0","25","0","13","3","14","0","11","7","1","0","0","0","21","44","0","23","7","0","2","3","0","0","1","2","0","0","75","94","0","47","11","0","4","8","0","1","25","20","0","5","1","0","0","3","1","0","2","0","0","0","3","0","0","1"
"35-586 Geist","12","0","19","0","9","2","15","0","16","0","0","0","1","0","39","44","0","24","6","0","5","7","0","0","2","2","0","0","56","59","0","36","9","0","5","5","0","0","18","13","0","3","1","0","0","3","2","0","0","0","1","2","2","0","0","11"
"35-587 Lakeview","6","0","7","0","3","1","4","0","2","1","0","0","0","0","18","12","0","11","3","0","2","5","0","0","0","0","0","0","7","7","0","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"35-592 Shanly","11","0","13","0","9","5","11","0","10","1","0","0","0","0","34","40","0","22","2","0","0","6","0","0","0","1","0","1","49","43","0","32","14","0","2","14","0","1","11","11","0","2","0","1","0","1","0","0","0","0","2","0","3","0","0","2"
"35-595 University Hills","16","0","24","0","12","5","19","0","17","1","0","1","0","0","25","32","0","18","4","0","1","8","0","0","0","1","0","0","81","81","0","63","12","0","8","16","0","3","14","28","0","9","0","1","0","2","0","0","0","0","1","1","1","0","0","11"
"35-596 University West","54","0","74","0","40","3","47","0","46","6","1","4","2","1","85","108","0","58","9","0","4","16","0","0","3","4","0","0","117","123","0","88","25","1","3","21","0","1","17","20","0","8","5","2","0","2","3","0","1","0","0","4","5","0","0","7"
"36-001 Goldstream No. 1","17","0","32","0","7","4","13","0","15","4","2","1","0","0","28","65","0","25","11","0","1","2","0","0","3","5","0","0","81","94","0","55","14","0","5","7","0","0","15","26","0","3","2","0","0","1","0","0","1","0","0","0","1","0","0","6"
"36-002 Goldstream No. 2","10","0","36","0","13","3","13","0","10","2","0","2","1","2","29","40","0","15","3","0","1","6","0","0","0","2","0","0","107","131","0","71","27","1","7","19","0","1","31","30","0","12","1","0","0","4","0","1","1","0","0","0","4","0","1","11"
"36-010 Allakaket","2","0","0","0","1","0","0","0","3","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","7","1","0","4","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11"
"36-018 Arctic Village","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"36-022 Beaver","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","3","1","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-026 Bettles","0","0","4","0","1","0","1","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-034 Central","3","0","4","0","2","0","1","0","4","0","0","0","0","0","7","9","0","3","1","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"36-038 Chistochina","2","0","7","0","4","0","1","0","4","2","0","0","0","1","6","5","0","7","0","0","1","0","0","1","0","2","0","1","3","3","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-042 Circle","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-046 Copper Center","13","0","18","0","10","1","5","0","10","3","1","0","3","1","37","29","0","15","4","0","1","6","0","1","2","3","0","0","9","11","0","19","3","0","0","1","0","1","4","3","0","0","2","0","1","0","2","0","3","0","1","2","2","0","0","9"
"36-050 Delta Junction","6","0","35","0","8","7","4","0","6","4","0","5","1","1","43","45","0","19","4","0","0","2","0","0","1","3","0","1","4","5","0","4","1","0","1","2","0","0","1","2","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","4"
"36-054 Deltana","51","1","120","0","37","12","20","0","25","5","1","6","3","0","150","128","0","61","23","2","2","12","0","0","4","5","1","2","15","25","0","22","6","0","2","3","0","0","1","2","0","0","1","1","0","4","1","0","4","0","0","1","0","0","0","13"
"36-058 Dot Lake","1","0","1","0","0","0","1","0","0","0","0","0","1","0","10","10","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-062 Eagle","8","0","8","0","1","0","1","0","1","0","1","0","0","0","20","9","0","3","0","0","1","0","0","0","0","0","0","0","3","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-066 Fort Yukon","13","0","0","0","2","0","2","0","9","0","0","0","0","0","5","1","0","5","0","0","0","0","0","0","0","0","0","0","14","3","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5"
"36-070 Gakona","7","0","11","0","5","1","3","0","5","2","0","0","0","1","12","5","0","5","0","0","0","2","0","0","1","0","0","0","2","5","0","10","1","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","1"
"36-074 Galena","8","0","3","0","10","0","5","0","7","2","0","0","0","1","3","2","0","11","0","0","0","2","0","0","0","0","0","0","21","18","0","12","5","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"36-078 Glennallen","6","0","21","0","3","0","2","0","4","0","1","0","0","0","29","18","0","10","3","0","1","1","0","0","0","0","0","1","1","9","0","4","0","0","0","2","0","0","1","4","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3"
"36-090 Hughes","1","0","0","0","2","0","0","0","3","0","0","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","2","1","1","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"36-094 Huslia","4","0","0","0","1","0","1","1","12","0","0","0","0","0","5","0","0","1","0","0","0","1","0","0","0","0","0","0","10","13","0","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-098 Kaltag","6","0","0","0","2","0","1","0","6","0","0","0","0","0","1","0","0","7","0","0","0","2","0","0","0","0","0","0","4","0","0","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-102 Kenny Lake","6","0","16","0","3","0","3","0","3","1","1","1","0","0","26","17","0","9","3","0","0","2","0","0","0","0","0","0","7","9","0","8","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3"
"36-106 Koyukuk","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","6","2","0","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-110 Manley","0","0","5","0","0","0","0","0","2","0","0","0","0","0","15","6","0","7","0","0","0","1","0","0","0","0","0","0","4","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"36-114 McGrath","8","0","7","0","0","0","3","0","5","0","0","0","0","0","10","9","0","1","0","0","0","1","0","0","0","0","0","0","6","4","0","10","2","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1"
"36-118 Mentasta","2","0","1","0","2","0","0","0","2","0","0","0","0","0","4","3","0","1","0","0","0","0","0","0","0","0","0","0","8","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-122 Minto","3","0","0","0","1","0","1","0","5","0","0","0","0","0","3","1","0","3","1","0","0","1","0","0","0","0","0","0","2","5","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"36-126 Nenana","19","0","14","0","8","3","3","0","12","2","0","0","1","0","37","17","0","22","1","0","0","6","0","0","0","0","0","0","21","17","0","21","6","0","2","2","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","5"
"36-130 Nikolai","2","0","0","0","0","0","0","0","4","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","5","4","0","6","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-134 Northway","5","0","0","0","5","0","3","0","5","0","0","0","0","0","2","0","0","3","1","0","0","1","0","0","0","0","0","0","2","1","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"36-138 Nulato","8","0","1","0","1","0","5","0","10","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","6","2","0","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-142 Ruby","5","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"36-146 Shageluk","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-162 Tanana","0","0","0","0","1","0","5","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","9","6","0","14","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"36-166 Tetlin","0","0","0","0","4","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"36-170 Tok","24","0","21","0","8","0","9","0","21","0","0","1","0","0","107","56","0","44","1","0","2","11","0","1","1","3","0","0","21","18","0","26","1","0","1","2","0","0","1","2","0","0","0","0","0","1","0","0","2","0","0","1","0","0","0","6"
"37-700 Akutan","10","0","2","0","4","0","0","0","10","0","0","0","1","0","12","0","0","13","0","0","2","4","0","0","0","0","0","0","1","2","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","10"
"37-702 Aleknagik","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","1","4","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-704 Aleutians No. 1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-706 Aleutians No. 2","10","0","20","0","16","0","12","0","22","0","1","1","1","4","34","21","0","25","8","0","2","7","0","0","0","0","0","0","18","24","0","26","7","0","0","8","0","0","2","8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","11"
"37-707 Aniak","2","0","2","0","3","0","0","0","2","0","0","0","0","0","2","1","0","1","0","0","0","2","0","0","0","0","0","0","4","4","0","33","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-708 Chignik","1","0","2","0","0","0","0","0","4","0","0","0","0","0","0","3","0","1","0","0","0","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-709 Chuathbaluk","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-710 Clark's Point","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-712 Cold Bay","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-713 Crooked Creek","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"37-714 Dillingham","16","0","13","0","6","3","10","0","18","2","0","1","0","0","22","23","0","22","4","0","2","7","0","0","0","0","0","0","50","52","0","51","7","0","4","7","0","1","4","12","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"37-716 Egegik","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-718 Ekwok","1","0","1","0","1","1","1","0","1","0","0","0","0","1","6","0","0","2","0","0","0","1","0","0","0","0","0","0","2","2","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-719 Goodnews Bay","3","0","0","0","3","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","3","3","0","7","1","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-720 King Cove","6","0","0","0","3","0","2","0","6","0","0","0","0","0","7","0","0","1","0","1","0","3","0","0","0","0","0","0","2","1","0","4","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"37-722 King Salmon","7","0","12","0","5","0","2","0","4","0","0","0","0","0","26","8","0","7","0","1","1","3","0","0","0","1","0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-724 Koliganek","3","0","1","0","1","0","1","0","3","0","0","0","0","0","3","3","0","2","0","0","0","1","0","0","0","0","0","0","4","1","0","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"37-726 Lake Iliamna No. 1","4","0","3","0","4","0","0","0","3","0","0","0","0","2","9","4","0","3","1","0","0","1","0","0","0","0","0","1","4","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6"
"37-728 Lake Iliamna No. 2","4","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-730 Levelock","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-731 Lower Kalskag","0","0","1","0","5","0","1","0","2","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","0","0","0","0","2","0","0","11","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"37-732 Manokotak","2","0","1","0","6","0","1","0","3","0","0","0","0","4","0","2","0","3","0","0","0","1","0","0","0","0","0","0","3","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-734 Naknek","14","0","4","0","5","0","2","0","5","2","0","0","0","1","13","6","0","10","0","0","0","1","0","0","0","0","0","0","13","5","0","7","2","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"37-736 New Stuyahok","7","0","1","0","3","0","2","0","9","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","17","2","0","20","0","1","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5"
"37-738 Nondalton","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","5","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37-740 Pedro Bay","2","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-742 Port Heiden","0","0","1","0","1","0","1","0","2","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-744 Sand Point","3","0","3","0","7","1","1","0","4","0","0","0","0","1","13","8","0","4","1","0","0","0","0","0","0","0","0","0","6","2","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"37-746 Sleetmute","1","0","2","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37-748 South Naknek","3","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
